id,num_orders
1028232,124.0
1262649,125.275
1453211,189.735
1262599,95.14
1495848,113.96
1342607,122.255
1358429,122.82
1475006,117.765
1009709,155.165
1460444,1328.0
1476535,548.96
1297121,601.555
1141103,990.675
1274933,1451.805
1435122,497.75
1486477,531.095
1195364,1004.97
1301491,581.44
1059056,923.525
1098228,1013.115
1080847,1003.635
1064602,1061.345
1093227,1099.83
1177861,801.205
1259611,538.865
1274836,720.655
1030333,1091.07
1249982,586.46
1188591,536.615
1316160,674.41
1419545,647.11
1062437,556.7
1181575,791.36
1143023,434.14
1278339,625.43
1282203,637.79
1080746,495.105
1296937,659.85
1210564,594.825
1390579,257.55
1436947,302.32
1045739,244.495
1318087,253.6
1223698,282.765
1436625,272.35
1383644,229.45
1045356,218.26
1121593,262.935
1114635,216.26
1332667,1625.59
1039351,2006.935
1319273,1626.83
1305518,1672.665
1327143,1483.46
1272171,1121.12
1223757,900.12
1090089,1121.63
1128850,926.325
1446344,908.905
1237947,739.89
1452835,641.945
1029462,784.19
1365321,721.345
1377892,749.735
1378346,749.735
1261333,741.245
1427333,659.02
1157382,769.585
1168967,743.2
1306954,719.89
1342909,772.155
1244760,1001.5
1431361,696.11
1276681,985.93
1148958,966.655
1184174,725.77
1323560,768.485
1066229,1136.75
1025558,825.25
1083889,262.02
1378453,239.925
1434331,275.745
1311554,318.705
1111904,238.335
1430955,270.725
1455829,279.785
1182896,279.36
1205862,268.09
1215917,275.03
1409427,166.3
1100468,247.41
1411863,138.69
1010693,349.215
1004925,308.95
1265382,147.04
1239027,180.655
1462013,308.725
1464784,193.465
1440692,146.385
1268331,274.01
1030648,328.395
1033468,302.87
1452010,334.28
1164883,277.255
1265395,369.32
1214244,383.895
1307226,356.55
1425834,330.87
1105463,293.06
1245977,124.845
1352817,127.05
1245183,436.325
1490092,343.905
1278462,437.99
1090267,423.755
1231613,440.17
1164334,443.43
1300150,417.1
1231259,447.875
1243020,442.295
1433764,709.375
1124103,457.385
1031825,448.115
1437782,592.635
1087645,483.705
1185456,422.955
1450862,676.39
1465438,680.02
1035890,373.12
1267165,596.075
1262997,611.575
1088775,851.98
1217709,782.57
1430418,565.895
1275478,755.475
1435295,469.605
1346982,475.865
1160970,678.075
1310566,498.025
1014151,640.91
1374002,569.63
1417996,570.07
1141881,526.18
1219590,552.125
1373220,551.72
1355558,554.08
1042282,665.385
1323969,567.675
1480827,508.99
1161084,254.41
1351984,244.16
1196384,329.84
1231951,353.925
1004647,227.355
1441493,268.06
1337172,357.955
1127689,271.01
1321298,268.575
1475476,267.675
1207745,523.04
1332437,391.595
1295195,513.435
1238168,531.855
1401191,431.56
1320351,580.705
1015073,461.515
1440436,684.54
1488196,633.28
1084735,527.3
1312130,149.34
1284072,179.51
1390606,159.635
1177870,130.265
1217412,132.695
1391279,133.62
1000635,188.225
1070142,191.245
1158077,173.35
1263948,123.485
1240615,1012.525
1397490,1062.515
1355088,839.1
1401705,1064.14
1422185,705.22
1390157,1035.04
1460838,769.205
1377519,1036.74
1310657,807.085
1491023,1147.505
1067356,438.085
1282200,856.39
1137357,508.375
1396043,781.925
1269970,841.895
1350440,819.27
1308326,838.055
1242087,848.075
1043619,368.28
1222185,497.48
1497941,742.57
1278537,513.27
1355035,518.2
1143583,652.58
1020166,643.245
1406416,463.785
1203123,508.685
1480428,620.985
1420069,697.695
1125502,634.615
1249505,234.98
1206767,260.695
1094469,217.115
1278323,147.42
1173977,237.38
1140787,220.22
1116819,245.67
1252003,375.545
1352888,188.545
1128508,215.59
1034558,72.26
1176365,70.965
1094576,81.645
1392466,65.995
1055474,80.76
1217360,73.57
1271801,57.4
1345064,58.81
1401294,87.34
1024879,68.235
1001797,465.025
1131807,336.945
1494899,337.62
1268958,392.43
1288154,370.65
1203405,284.03
1040370,566.125
1044833,498.69
1350447,323.145
1347690,326.91
1025721,297.805
1457412,388.87
1251774,396.375
1380718,310.49
1262455,376.995
1043759,289.125
1153098,316.42
1142567,280.3
1044267,302.435
1263998,334.515
1185434,747.39
1101049,1482.12
1101699,1484.94
1089294,1480.995
